Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,CLE61.2,CLE33.6,CLE22.7,CLE10.9,HOU39.4,BAL3.9,CHW4.2,HOU8.8,OAK3.9,HOU7.9,DET5.1,LAA7.3,NYY7.6,NYY15.6,SEA3.8,TBR1.3
2,NYY53.1,NYY23.6,NYY13.7,NYY9.9,NYY29.5,SEA3.2,KCR3.8,BAL4.7,TOR3.8,LAA7.1,NYY4.1,TBR6.2,BOS6.4,TBR13.6,CLE2.6,NYY1.3
3,HOU52.9,BOS21.6,BOS12.3,BOS9.3,MIN28.6,MIN3.0,OAK3.6,MIN4.5,TEX3.7,CLE5.5,HOU3.1,MIN5.3,HOU5.1,HOU12.4,TBR2.1,MIN1.3
4,BOS41.9,TOR18.3,TEX11.4,TOR7.2,CLE27.6,NYY2.6,MIN3.6,OAK3.5,CLE3.7,TEX4.5,TBR3.0,KCR4.9,TBR4.4,BOS11.6,MIN1.8,HOU1.1
5,MIN36.8,KCR16.7,HOU11.1,BAL6.8,TBR27.1,DET2.2,CLE3.5,CLE3.5,HOU3.7,NYY3.5,CLE2.8,HOU4.2,CHW4.3,LAA11.1,TEX1.7,OAK0.8
6,TBR35.4,TEX14.1,TOR11.0,KCR6.4,SEA23.2,TEX2.1,HOU3.3,SEA3.1,BAL3.5,SEA2.9,OAK2.0,NYY3.9,SEA3.1,MIN9.3,NYY1.7,CLE0.7
7,SEA33.9,HOU13.5,KCR10.4,CHW5.4,BOS20.3,CLE2.0,TOR3.0,CHW3.1,TBR3.2,TBR2.6,MIN1.9,BOS3.4,MIN2.1,DET7.1,OAK1.4,DET0.4
8,TEX31.0,LAA12.0,DET9.1,LAA5.3,OAK18.3,KCR1.9,TBR3.0,KCR2.8,NYY2.8,MIN2.5,BOS1.8,TOR2.9,LAA2.1,SEA6.8,HOU0.5,CHW0.3
9,LAA30.1,SEA10.7,SEA7.3,OAK3.4,LAA18.1,HOU1.7,BOS1.4,BOS2.1,MIN2.6,BOS2.5,LAA1.7,BAL2.5,DET1.9,CLE6.1,CHW0.2,SEA0.3
10,KCR29.0,DET9.5,LAA6.8,SEA3.3,BAL17.7,BOS1.7,TEX0.8,NYY2.0,SEA2.4,DET1.1,CHW1.4,SEA2.5,OAK1.8,CHW5.0,BAL0.0,BOS0.3
11,OAK27.8,OAK9.5,OAK6.0,TBR2.9,CHW17.0,LAA1.5,SEA0.7,DET1.7,CHW2.0,OAK1.0,TEX1.3,TEX2.3,CLE1.1,OAK4.3,BOS-0.1,TEX0.3
12,TOR26.8,CHW8.6,MIN5.9,TEX2.7,TEX16.9,CHW1.2,BAL0.6,TBR0.7,KCR1.2,CHW1.0,SEA1.2,CLE2.2,TEX0.5,TEX4.1,TOR-0.1,BAL0.3
13,CHW25.6,TBR8.3,TBR5.4,HOU2.4,DET12.7,TBR0.6,LAA0.4,TOR0.1,BOS0.8,BAL1.0,BAL1.2,OAK0.5,BAL0.0,KCR3.9,DET-0.3,LAA0.1
14,BAL24.9,MIN8.2,CHW3.1,MIN2.0,KCR12.3,TOR0.5,NYY0.0,TEX-0.3,DET0.6,TOR-0.1,TOR0.1,DET0.1,KCR-0.8,BAL3.7,KCR-0.6,TOR-0.3
15,DET22.2,BAL7.2,BAL0.5,DET0.5,TOR8.5,OAK-0.2,DET-0.1,LAA-1.2,LAA0.4,KCR-0.3,KCR-0.2,CHW-0.7,TOR-1.4,TOR1.6,LAA-1.3,KCR-0.4
AVG,35.5,14.4,9.1,5.2,21.1,1.9,2.1,2.6,2.6,2.8,2.0,3.2,2.5,7.7,0.9,0.5
