Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,BOS54.2,CHW25.7,CHW19.0,NYY10.4,TEX31.7,MIN5.0,TBR5.2,BOS6.8,NYY5.7,CLE3.9,CHW5.3,CLE5.9,BAL7.4,TEX12.5,TEX5.1,CLE1.7
2,TBR50.3,BOS23.4,BOS18.1,TOR8.2,BOS30.8,CLE3.7,LAA5.2,TEX4.9,TBR5.3,TEX3.3,BOS4.6,TEX5.4,TEX5.1,CLE12.5,BAL3.2,TEX1.2
3,TOR46.9,TOR23.1,LAA15.7,KCR7.8,CLE28.9,OAK3.5,BOS4.7,BAL4.7,SEA5.2,LAA3.2,NYY3.7,TOR4.2,CLE4.2,BAL12.3,BOS2.6,OAK1.2
4,CHW45.0,TBR22.7,TOR15.1,TBR7.7,TBR27.6,LAA2.8,MIN4.0,DET4.6,TOR4.7,NYY2.9,TBR3.1,DET4.0,MIN3.9,BOS9.9,NYY2.3,TBR0.7
5,NYY42.8,NYY22.2,TBR14.7,CHW6.8,TOR23.8,DET2.7,DET2.7,TOR3.4,BOS4.4,CHW2.7,SEA2.6,TBR3.6,TOR3.7,CHW9.1,OAK2.0,BOS0.6
6,LAA41.1,LAA21.7,KCR13.3,LAA6.3,MIN21.9,TEX2.7,TOR2.7,TBR3.3,KCR2.9,MIN2.0,BAL2.6,LAA3.0,SEA3.1,TOR8.8,CHW2.0,TOR0.6
7,CLE38.0,KCR21.0,NYY11.8,MIN5.6,BAL21.6,TOR2.4,CLE1.5,CLE3.3,BAL2.6,KCR2.0,CLE2.4,MIN2.8,BOS2.9,SEA8.3,TBR1.4,MIN0.5
8,MIN37.9,MIN16.0,CLE11.1,BOS5.6,DET20.8,TBR2.1,NYY1.4,OAK3.2,DET2.5,TBR1.8,TEX2.0,SEA2.6,CHW2.8,NYY8.1,LAA1.2,DET0.5
9,OAK31.6,OAK13.0,MIN10.1,OAK5.0,NYY20.6,CHW0.9,BAL1.3,KCR3.2,CHW2.1,DET1.6,OAK1.7,OAK2.5,NYY2.6,TBR7.8,MIN0.7,BAL0.5
10,DET30.3,DET9.5,OAK7.9,DET3.5,LAA19.4,BAL0.7,CHW0.8,SEA3.1,CLE1.8,BOS1.4,TOR0.9,BOS2.4,DET2.3,MIN7.0,CLE0.5,CHW0.4
11,KCR28.9,CLE9.1,DET6.1,BAL1.8,CHW19.3,BOS0.4,OAK0.5,LAA2.4,OAK1.5,TOR1.3,MIN0.3,BAL2.3,OAK1.7,DET6.2,DET0.0,SEA0.3
12,TEX28.2,SEA3.8,SEA3.2,SEA0.4,OAK18.6,KCR0.2,TEX0.5,MIN2.2,TEX1.5,OAK0.8,KCR0.2,NYY1.8,TBR1.1,OAK5.9,SEA-0.1,NYY0.2
13,BAL24.4,BAL2.8,BAL1.1,TEX-1.7,SEA16.7,NYY-0.1,SEA0.1,CHW1.3,LAA1.1,SEA0.0,DET-0.1,CHW1.0,LAA0.9,LAA3.6,TOR-0.1,LAA-0.1
14,SEA20.5,TEX-3.5,TEX-2.0,CLE-2.0,KCR7.9,SEA-0.2,KCR-0.3,NYY0.1,MIN0.5,BAL-3.7,LAA-0.3,KCR0.6,KCR-0.6,KCR0.2,KCR-0.2,KCR-0.1
AVG,37.1,15.0,10.4,4.7,22.1,1.9,2.2,3.3,3.0,1.7,2.1,3.0,2.9,8.0,1.5,0.6
