Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,TOR50.5,NYY22.0,CLE16.2,KCR9.8,TOR35.1,OAK3.6,NYY4.3,DET5.9,TOR8.2,HOU5.3,DET4.2,LAA9.1,DET4.7,TBR11.7,TOR4.4,TBR1.9
2,HOU46.1,CLE22.0,NYY13.9,BAL9.2,HOU28.3,TOR2.7,DET4.1,HOU5.0,BAL6.8,CLE4.8,KCR3.9,TBR7.5,HOU4.5,LAA11.3,SEA2.8,HOU1.4
3,KCR42.1,HOU17.8,TBR13.7,NYY8.2,KCR24.9,NYY2.5,BAL3.5,CLE4.3,TEX6.0,BOS4.5,NYY2.5,KCR7.5,TOR3.5,KCR11.2,NYY2.7,OAK1.3
4,NYY42.1,TBR17.5,HOU12.9,CLE5.6,DET24.1,BAL2.5,KCR3.5,TOR4.2,KCR4.6,OAK3.0,TBR2.1,BOS6.1,OAK3.4,DET10.1,BOS2.6,TOR1.0
5,CLE39.5,KCR17.2,SEA11.8,TEX5.2,TEX22.6,TEX2.2,TOR2.9,TBR3.5,SEA4.2,NYY3.0,MIN2.1,TOR4.7,SEA3.4,HOU9.7,KCR2.3,NYY0.8
6,TBR39.3,BAL16.5,BOS11.5,HOU4.6,TBR21.8,HOU2.1,CHW2.5,SEA3.2,TBR3.2,TOR2.7,CLE1.9,CHW4.1,TEX3.2,BOS9.2,MIN2.0,KCR0.8
7,BOS35.9,TOR15.4,TOR10.9,TOR4.5,BOS21.3,CLE1.9,TEX2.5,BOS2.9,OAK3.2,LAA2.3,HOU1.8,HOU3.4,LAA2.9,TOR9.0,TEX1.9,DET0.7
8,TEX35.8,BOS14.6,MIN10.3,MIN4.2,LAA20.8,KCR1.7,LAA1.9,MIN2.8,MIN3.1,TEX2.2,CHW1.8,OAK3.1,BOS2.8,OAK7.3,TBR1.7,TEX0.6
9,BAL35.0,MIN14.6,OAK10.1,TBR4.0,OAK20.8,LAA1.7,MIN1.6,TEX2.1,HOU2.8,DET1.8,SEA1.2,BAL3.0,TBR2.1,CHW6.5,LAA1.4,CLE0.5
10,LAA30.1,SEA13.3,CHW9.5,BOS3.3,NYY20.1,CHW1.4,BOS1.5,OAK1.7,LAA1.9,SEA1.6,OAK0.8,NYY2.8,NYY1.0,NYY6.3,BAL1.4,BOS0.3
11,OAK28.8,TEX13.2,LAA7.9,CHW3.0,BAL18.5,DET1.0,HOU1.1,BAL1.0,DET0.9,TBR1.4,TOR0.8,CLE1.9,CHW0.6,SEA5.3,HOU0.9,CHW0.3
12,MIN28.3,CHW12.3,TEX7.8,SEA1.6,CLE17.5,BOS0.7,OAK0.9,LAA0.4,NYY0.8,CHW1.1,BOS0.3,TEX1.7,BAL0.5,TEX5.1,CLE0.8,MIN0.1
13,SEA28.1,LAA9.3,KCR7.4,LAA1.4,SEA14.8,MIN0.6,CLE0.5,KCR0.0,CLE0.5,KCR0.8,TEX0.2,DET1.2,CLE0.4,CLE4.2,CHW0.7,BAL0.1
14,DET25.6,OAK8.0,BAL7.3,DET0.1,MIN13.7,TBR-0.7,SEA-0.2,NYY-0.3,CHW0.2,MIN0.2,BAL0.0,MIN1.0,MIN0.2,BAL3.5,OAK-0.2,SEA-0.1
15,CHW24.7,DET1.5,DET1.5,OAK-2.2,CHW12.4,SEA-2.0,TBR-0.9,CHW-0.3,BOS-0.4,BAL-0.3,LAA-0.7,SEA0.7,KCR-0.2,MIN3.3,DET-0.4,LAA-0.1
AVG,35.5,14.3,10.2,4.2,21.1,1.5,2.0,2.4,3.1,2.3,1.5,3.9,2.2,7.6,1.7,0.6
