Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,NYY50.1,CHW24.6,CHW17.4,TEX10.6,TBR36.2,MIN4.9,DET6.8,NYY8.0,TBR8.4,CHW5.5,TEX7.0,NYY6.0,CLE6.1,TEX15.2,MIN3.8,TBR2.1
2,TBR48.9,TEX22.9,OAK12.8,CHW7.4,NYY35.2,BOS2.8,BOS5.7,BOS4.8,BOS7.8,TOR4.8,TBR7.0,DET5.3,TOR4.9,NYY13.5,CLE2.9,DET1.7
3,BOS47.0,MIN18.9,MIN12.7,MIN6.3,BOS32.1,BAL2.7,OAK5.4,TBR4.6,TOR4.0,OAK4.7,NYY4.7,OAK4.1,TEX4.4,TBR12.5,BOS2.7,MIN1.6
4,MIN45.3,TOR15.7,SEA12.5,NYY5.9,DET27.6,CLE2.3,MIN4.6,OAK4.1,NYY3.9,TBR3.3,DET3.1,TOR4.0,SEA3.8,DET11.2,BAL2.5,NYY1.2
5,TEX44.7,OAK15.6,LAA12.3,KCR5.7,MIN26.4,TOR2.3,NYY3.9,TEX3.4,DET2.6,BOS2.2,MIN1.8,TEX3.8,TBR3.6,TOR9.4,DET2.4,BOS1.0
6,CHW41.6,NYY14.9,TEX12.3,TBR5.7,OAK25.7,TBR2.2,CHW3.6,MIN3.4,CLE2.5,DET2.0,CLE1.4,LAA3.6,BOS3.2,SEA6.7,TEX2.1,CLE0.8
7,OAK41.3,BOS14.9,BOS12.0,TOR4.9,TOR23.5,OAK1.7,KCR2.7,LAA2.5,MIN2.4,NYY1.8,BAL1.3,CHW3.5,DET2.8,CLE6.5,LAA1.8,OAK0.7
8,TOR39.2,LAA14.2,TOR10.8,CLE4.2,TEX21.8,CHW1.7,LAA2.5,KCR1.5,OAK2.0,MIN1.8,BOS0.9,BAL2.7,NYY2.8,BAL6.3,OAK1.8,LAA0.3
9,DET36.7,KCR13.2,BAL9.1,BAL3.1,CLE18.3,LAA1.6,TBR2.5,DET1.5,KCR1.8,SEA1.7,SEA0.7,KCR2.3,BAL2.3,LAA6.0,NYY1.3,KCR0.3
10,LAA30.5,TBR12.7,NYY9.0,OAK2.9,CHW17.0,NYY1.6,TOR2.4,SEA1.2,TEX1.7,CLE1.7,LAA0.6,SEA2.2,LAA1.8,OAK5.3,KCR1.0,TEX0.3
11,CLE26.8,SEA12.4,KCR7.5,BOS2.6,LAA16.3,KCR0.4,CLE0.9,TOR1.2,SEA0.5,LAA1.6,CHW0.5,TBR1.9,OAK1.4,CHW5.2,CHW0.9,CHW0.2
12,BAL24.1,BAL12.0,DET7.1,DET2.2,BAL12.1,DET-0.6,BAL0.1,CLE0.7,LAA0.0,TEX1.0,TOR0.5,MIN1.6,KCR1.4,BOS5.1,TBR0.6,TOR0.2
13,KCR23.7,DET9.1,TBR7.0,LAA1.9,KCR10.5,SEA-0.9,SEA-0.7,BAL0.7,BAL-0.4,BAL0.1,KCR-0.2,BOS1.0,CHW1.2,MIN3.9,SEA0.5,SEA0.1
14,SEA21.5,CLE8.5,CLE4.5,SEA0.1,SEA9.1,TEX-1.1,TEX-0.8,CHW0.5,CHW-0.6,KCR-0.7,OAK-0.2,CLE-1.0,MIN0.5,KCR3.5,TOR-0.8,BAL0.1
AVG,37.2,15.0,10.5,4.5,22.3,1.5,2.8,2.7,2.6,2.2,2.1,2.9,2.9,7.9,1.7,0.8
