Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,BAL46.7,CLE25.0,CLE15.4,CLE9.7,BAL30.6,CLE4.9,DET5.2,SEA6.2,TEX7.1,LAA3.8,KCR6.4,LAA7.4,TOR4.7,LAA13.5,DET5.2,OAK1.9
2,OAK46.0,KCR20.5,DET15.3,KCR7.8,LAA30.4,OAK4.1,BAL3.9,HOU6.2,OAK6.8,BAL3.4,BAL5.1,CHW5.1,OAK4.3,KCR13.4,BAL3.7,TBR1.4
3,LAA45.4,SEA19.5,TBR12.8,SEA7.0,OAK27.6,KCR3.0,TOR3.8,DET5.8,SEA5.7,CHW3.2,CLE4.0,TBR4.8,LAA4.3,BAL12.4,TOR2.9,BAL1.3
4,DET43.0,OAK18.4,SEA12.7,OAK6.7,TOR26.4,LAA2.9,CHW3.6,BOS5.4,MIN3.9,TOR3.1,NYY3.8,BAL4.8,BOS3.1,TOR10.1,BOS2.8,TOR1.2
5,KCR41.1,DET17.2,KCR12.6,BAL6.3,DET25.8,NYY2.5,BOS2.9,MIN5.3,NYY3.3,SEA2.6,DET3.8,KCR4.3,HOU3.0,OAK9.5,HOU1.9,NYY0.8
6,TOR39.3,TBR16.8,OAK12.0,NYY5.3,KCR20.6,CHW2.4,LAA2.7,LAA5.3,BAL3.2,KCR2.5,TOR3.5,TEX4.1,KCR2.7,TBR9.4,OAK1.7,DET0.7
7,CLE38.8,BAL16.1,HOU10.8,LAA5.0,BOS19.4,MIN2.1,OAK1.8,TBR2.5,TBR3.2,CLE2.1,OAK3.1,NYY4.0,BAL2.5,NYY8.4,LAA1.4,LAA0.5
8,SEA37.8,LAA15.0,LAA10.2,BOS4.9,TBR19.3,HOU1.9,NYY1.6,NYY1.8,TOR2.0,MIN2.1,TBR2.9,MIN3.1,DET1.8,DET8.0,TBR1.4,BOS0.4
9,TBR36.1,TOR12.9,TOR10.0,MIN4.7,NYY18.4,BAL1.9,TBR1.5,TOR1.6,CHW1.8,HOU1.9,BOS2.0,HOU2.9,TBR1.7,BOS7.7,CHW1.1,HOU0.3
10,NYY31.1,NYY12.7,BAL9.9,TEX4.5,SEA18.3,DET1.7,MIN1.0,KCR1.1,CLE1.1,OAK1.3,LAA1.8,CLE2.8,SEA1.0,HOU6.9,MIN0.8,SEA0.2
11,MIN27.4,MIN9.8,CHW8.0,TBR4.1,CHW18.1,TOR1.7,KCR0.6,BAL0.8,LAA0.3,TBR0.7,SEA1.5,BOS2.6,NYY0.6,CLE5.7,TEX0.1,MIN0.1
12,CHW26.5,CHW8.4,NYY7.5,TOR3.0,MIN17.6,TEX1.6,CLE0.5,CHW0.7,KCR0.3,TEX0.7,HOU1.0,DET2.4,TEX0.3,CHW5.3,NYY0.1,KCR0.1
13,BOS25.3,HOU8.0,MIN5.2,DET1.8,HOU16.6,SEA0.5,SEA0.4,CLE0.5,BOS-0.7,BOS0.5,CHW0.4,OAK2.1,CHW-0.2,TEX4.2,SEA-0.2,TEX0.0
14,HOU24.6,TEX7.8,TEX3.2,CHW0.6,CLE13.8,BOS0.4,TEX-0.9,OAK0.5,DET-1.0,DET0.2,TEX-0.2,TOR1.9,MIN-0.4,SEA2.9,KCR-0.4,CHW0.0
15,TEX20.9,BOS5.9,BOS1.0,HOU-2.8,TEX13.1,TBR-0.8,HOU-1.3,TEX0.3,HOU-1.2,NYY-0.1,MIN-0.4,SEA0.4,CLE-1.1,MIN2.3,CLE-0.6,CLE-0.4
AVG,35.3,14.3,9.8,4.6,21.1,2.1,1.8,2.9,2.4,1.9,2.6,3.5,1.9,8.0,1.5,0.6
