Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,NYY51.0,DET25.9,DET19.7,BAL12.3,LAA38.8,CHW3.9,DET4.6,NYY7.9,DET6.6,LAA4.2,KCR6.2,LAA7.3,LAA5.8,LAA18.0,BOS3.2,OAK1.5
2,OAK47.7,TBR24.0,TBR14.9,KCR10.3,NYY29.9,BAL3.2,LAA4.5,BOS5.2,TEX5.7,TEX3.7,LAA4.9,MIN5.5,CHW4.7,OAK12.4,LAA3.1,NYY1.3
3,TBR45.6,OAK23.5,CHW14.2,OAK10.1,MIN24.6,CLE2.9,NYY4.5,CLE3.7,TOR4.4,KCR3.5,TEX4.4,DET5.4,OAK4.3,MIN10.8,TOR3.0,TEX1.2
4,LAA45.5,BAL22.5,NYY13.8,TBR9.1,OAK24.2,KCR2.8,TOR2.7,TBR3.1,LAA3.4,SEA3.2,OAK3.8,OAK4.3,TBR3.6,TEX9.7,OAK2.9,LAA1.0
5,TEX44.9,CHW21.6,TEX13.5,TEX7.7,TEX23.8,MIN2.6,BOS2.5,MIN2.8,TBR3.2,BAL3.2,MIN3.2,TEX4.1,CLE3.3,TBR9.5,MIN2.6,MIN0.8
6,DET42.7,TEX21.1,OAK13.5,CHW7.5,BOS23.1,NYY2.5,OAK2.5,LAA2.8,KCR3.0,CLE2.8,TBR2.8,BAL4.1,TOR3.3,CHW7.7,KCR2.4,CHW0.6
7,CHW42.4,NYY21.1,SEA12.7,NYY7.4,TOR22.1,DET1.9,CHW2.2,SEA2.6,NYY2.2,CHW2.7,BOS2.4,NYY3.2,NYY2.9,NYY7.1,NYY2.4,SEA0.6
8,BAL37.9,SEA18.8,BAL10.4,DET6.5,TBR21.6,TOR1.9,MIN1.5,TEX1.9,SEA2.1,BOS2.7,NYY1.0,CLE3.2,BOS2.3,BAL6.9,CHW1.9,BOS0.5
9,SEA34.4,KCR14.8,LAA5.1,SEA6.0,CHW20.8,LAA1.8,TBR1.1,TOR1.6,OAK2.1,TOR2.7,CHW0.9,TBR3.1,MIN2.1,CLE6.1,CLE1.5,TBR0.2
10,KCR31.6,LAA6.7,KCR4.4,CLE5.6,CLE17.5,SEA1.6,BAL0.6,CHW0.8,BAL2.0,MIN2.4,BAL0.9,CHW2.1,BAL1.9,KCR5.9,SEA1.2,TOR0.2
11,TOR28.2,TOR6.1,TOR3.2,BOS3.7,DET16.8,BOS1.5,TEX0.3,OAK0.2,BOS2.0,TBR2.1,SEA0.7,SEA2.1,SEA1.6,TOR5.6,TBR1.2,CLE0.1
12,MIN25.3,CLE2.8,MIN-2.3,TOR3.0,KCR16.8,TBR1.2,KCR-0.1,KCR-0.6,MIN1.1,NYY2.0,DET0.4,TOR1.9,TEX1.2,BOS5.5,TEX1.2,KCR-0.1
13,BOS23.2,MIN0.7,CLE-3.0,MIN3.0,SEA15.6,OAK1.0,SEA-0.1,DET-1.0,CHW1.0,OAK1.6,TOR0.4,KCR1.7,DET-1.5,SEA4.4,BAL0.9,BAL-0.1
14,CLE20.3,BOS0.1,BOS-3.4,LAA1.7,BAL15.4,TEX0.1,CLE-0.4,BAL-1.3,CLE0.8,DET0.9,CLE-0.4,BOS0.8,KCR-2.0,DET4.3,DET-0.3,DET-0.2
AVG,37.2,15.0,8.3,6.7,22.2,2.1,1.9,2.1,2.8,2.7,2.3,3.5,2.4,8.1,1.9,0.5
