Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,BOS53.0,CLE22.4,TOR15.8,BAL10.2,BOS39.0,KCR2.8,DET4.5,SEA7.1,TOR7.0,HOU6.4,NYY3.1,LAA9.6,BOS9.7,BOS17.1,BOS5.1,BOS1.1
2,CLE44.8,TOR19.8,CLE14.7,OAK8.4,HOU29.3,NYY2.5,BAL3.3,HOU7.1,SEA6.8,CLE5.8,CHW2.5,TBR5.6,HOU4.8,LAA12.0,SEA3.7,CLE1.0
3,TOR44.0,DET19.0,DET14.7,CLE7.7,SEA24.7,SEA2.3,BOS3.3,MIN6.2,TEX5.8,LAA4.1,CLE2.5,BOS5.5,CHW4.5,KCR8.9,TOR3.4,KCR0.8
4,BAL38.6,BAL18.9,NYY12.1,SEA6.7,LAA24.3,TEX2.3,CHW2.7,DET5.7,BAL5.2,BAL4.0,BOS1.9,KCR4.1,LAA3.2,HOU7.2,CLE2.4,TBR0.7
5,DET38.6,NYY18.2,TEX12.0,NYY6.4,TOR24.2,OAK2.0,TBR2.1,BOS5.7,TBR3.9,BOS3.9,KCR1.7,TOR3.4,KCR3.1,CHW7.2,HOU2.2,HOU0.4
6,SEA38.5,TEX16.8,CHW11.2,KCR6.4,CLE22.4,LAA1.9,LAA2.1,CLE4.3,HOU3.6,TEX3.7,HOU1.5,NYY2.6,MIN1.9,TBR6.9,TBR1.9,DET0.3
7,HOU36.9,CHW15.8,BOS9.7,TEX4.7,TBR21.8,HOU1.8,MIN2.0,TBR3.9,CHW3.2,TOR3.5,TEX1.5,TEX2.3,CLE1.8,NYY6.0,LAA1.9,NYY0.3
8,TEX35.6,OAK15.7,BAL8.6,CHW4.5,BAL19.7,BOS1.4,CLE1.9,TOR3.2,NYY2.7,CHW3.1,DET1.4,MIN1.6,SEA1.8,CLE5.5,BAL1.7,TOR0.2
9,CHW34.7,BOS14.0,OAK7.6,DET4.4,DET19.6,TBR0.8,KCR1.2,TEX2.4,CLE2.2,OAK2.7,SEA1.4,DET1.5,OAK1.5,TOR5.2,DET1.7,SEA0.2
10,NYY33.4,SEA13.8,TBR7.5,BOS4.3,CHW18.9,TOR0.7,TOR1.0,BAL2.4,OAK2.1,NYY2.3,OAK1.3,SEA1.4,TOR1.1,SEA4.6,KCR1.4,MIN0.2
11,TBR32.4,KCR13.7,SEA7.3,TOR3.7,TEX18.8,BAL0.7,HOU0.6,CHW1.8,LAA1.6,DET1.8,TBR1.0,CLE1.2,DET0.9,TEX4.4,MIN1.1,LAA0.2
12,KCR31.2,TBR10.6,KCR7.2,HOU3.5,KCR17.5,DET0.6,TEX0.6,NYY1.3,BOS1.4,TBR1.6,TOR0.7,BAL1.1,BAL0.9,MIN3.8,OAK0.9,BAL0.2
13,LAA29.8,HOU7.6,HOU4.3,TBR3.1,MIN15.3,CHW0.4,OAK-0.2,KCR1.0,DET1.2,MIN0.7,MIN0.3,HOU0.9,TEX0.6,DET3.8,NYY0.7,TEX0.1
14,OAK23.2,LAA5.5,LAA3.7,LAA1.9,NYY15.2,MIN0.4,SEA-0.2,LAA0.5,KCR0.9,KCR0.5,BAL0.2,CHW0.2,NYY0.3,BAL2.2,CHW0.6,CHW-0.1
15,MIN18.3,MIN3.0,MIN1.2,MIN1.9,OAK7.5,CLE-0.7,NYY-0.6,OAK-1.5,MIN0.9,SEA0.2,LAA-0.8,OAK-0.8,TBR0.3,OAK2.0,TEX-0.5,OAK-0.5
AVG,35.5,14.3,9.2,5.2,21.2,1.3,1.6,3.4,3.2,3.0,1.3,2.7,2.4,6.5,1.9,0.3
