Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,TEX54.7,NYY23.2,TEX17.0,NYY10.6,BOS36.6,DET5.3,DET7.5,BOS8.0,TBR7.0,TOR5.0,KCR7.4,BOS8.0,TOR6.4,KCR15.0,BOS4.3,TBR1.4
2,NYY53.7,CHW21.6,OAK16.2,KCR7.5,TEX33.8,BAL4.7,BOS6.9,TEX6.6,TEX5.8,CLE5.0,TBR4.2,NYY6.2,TBR4.6,TBR12.4,TEX3.5,TEX1.2
3,TBR50.4,TEX20.9,CHW15.6,CLE6.8,TBR33.7,CLE3.1,NYY3.3,TBR6.5,TOR5.2,SEA4.7,NYY3.9,LAA5.0,CHW3.6,NYY12.4,DET2.8,DET1.0
4,BOS50.3,OAK20.2,TBR14.9,CHW6.2,NYY30.5,NYY2.9,TBR3.1,NYY5.3,BOS3.9,BAL4.6,TEX3.3,DET4.6,LAA3.5,LAA8.7,TBR2.2,LAA0.9
5,LAA41.8,TOR16.7,NYY12.9,TOR6.0,DET28.4,TEX2.7,LAA3.1,SEA4.5,LAA3.7,LAA4.3,DET1.8,KCR4.3,KCR3.3,BOS8.4,KCR2.1,KCR0.7
6,DET41.8,TBR16.7,LAA11.8,BOS5.6,LAA26.9,KCR2.5,TEX2.2,LAA3.9,NYY3.4,TEX4.0,OAK1.7,TBR3.6,BAL2.6,TEX7.8,CLE2.0,BOS0.7
7,KCR36.0,LAA14.9,DET11.0,BAL5.0,KCR26.3,TOR1.9,MIN1.7,OAK2.1,CLE3.1,DET3.9,CLE1.1,TEX3.0,NYY2.3,DET7.3,LAA1.8,NYY0.6
8,TOR35.0,BOS13.7,TOR10.8,OAK4.1,TOR18.3,BOS1.7,KCR1.7,BAL1.4,KCR1.0,CHW3.7,BOS0.6,BAL2.9,TEX1.5,OAK5.2,NYY1.5,CHW0.6
9,CHW32.1,DET13.4,SEA8.5,SEA3.9,CLE17.9,OAK1.3,CHW1.4,CHW1.4,CHW0.9,BOS2.7,LAA0.2,MIN2.8,CLE1.1,BAL5.1,MIN1.1,OAK0.4
10,OAK30.6,SEA12.5,BOS8.3,TEX3.9,BAL16.8,CHW1.3,CLE1.2,MIN1.0,OAK0.7,KCR2.7,TOR0.0,OAK2.5,MIN1.1,TOR4.5,TOR1.0,SEA0.3
11,CLE30.0,CLE12.1,MIN7.3,LAA3.0,SEA11.2,TBR1.1,SEA1.0,DET0.8,BAL0.5,NYY1.1,BAL-0.4,CLE1.0,OAK1.0,CLE3.2,OAK0.9,CLE0.3
12,SEA23.7,KCR9.7,CLE5.4,DET2.6,CHW10.5,SEA0.5,BAL0.3,KCR0.6,SEA0.3,OAK0.5,SEA-0.7,SEA-0.6,DET0.9,MIN2.6,SEA0.6,TOR0.2
13,BAL21.6,MIN9.3,KCR2.3,MIN2.1,OAK10.4,LAA0.5,TOR0.1,TOR0.4,DET-0.2,TBR0.0,CHW-0.8,CHW-1.0,SEA0.6,CHW1.8,BAL0.3,MIN0.1
14,MIN13.1,BAL4.8,BAL-0.6,TBR1.8,MIN3.8,MIN-1.0,OAK-0.7,CLE0.0,MIN-0.3,MIN-1.4,MIN-1.3,TOR-1.9,BOS-0.2,SEA-0.7,CHW-0.6,BAL-0.1
AVG,36.8,15.0,10.1,4.9,21.8,2.0,2.3,3.0,2.5,2.9,1.5,2.9,2.3,6.7,1.7,0.6
