Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,NYY56.4,CHW25.1,CHW17.9,OAK9.5,LAA37.3,MIN5.5,NYY5.3,TEX6.0,LAA7.4,TBR6.8,BOS5.1,SEA6.6,SEA4.7,BOS11.9,MIN3.8,TBR1.3
2,BOS50.8,BOS24.1,NYY15.5,MIN9.4,NYY33.4,OAK3.5,DET5.1,TOR5.8,TBR6.8,NYY6.3,TBR5.1,LAA4.9,CLE4.7,SEA11.0,TOR3.2,NYY1.3
3,LAA43.8,NYY23.0,BOS15.3,BOS8.9,TBR31.8,LAA3.1,BOS4.2,BOS5.6,TOR5.2,TOR5.4,NYY4.2,DET4.5,BOS4.1,LAA10.8,NYY3.1,CLE0.8
4,TBR42.4,TEX19.9,KCR13.3,TEX7.9,TOR30.3,BAL2.2,LAA4.0,TBR5.1,SEA3.7,LAA4.2,LAA3.3,OAK3.7,MIN3.4,TBR9.6,CLE2.6,DET0.8
5,TOR40.7,MIN18.0,TEX12.5,NYY7.6,BOS26.7,BOS2.2,MIN3.7,LAA4.8,NYY3.2,TEX3.9,OAK2.8,BOS2.7,TBR3.2,CLE8.7,LAA2.2,LAA0.8
6,MIN40.2,OAK16.9,SEA11.3,CHW7.3,CLE23.5,CLE1.8,SEA3.4,NYY4.4,DET3.0,CLE3.7,TOR2.4,NYY2.5,BAL2.9,OAK8.3,CHW1.6,TOR0.7
7,TEX39.3,KCR16.7,DET10.7,TBR4.2,MIN22.2,TOR1.8,TBR2.7,BAL2.8,TEX2.9,CHW2.6,KCR2.0,BAL2.3,LAA2.6,NYY8.3,BOS0.8,MIN0.7
8,CHW34.5,DET13.7,MIN8.9,KCR3.4,SEA21.2,KCR1.6,TOR2.4,CLE2.7,BOS2.8,BAL1.2,BAL1.8,CLE2.2,TEX2.4,MIN7.1,SEA0.8,OAK0.5
9,SEA33.5,SEA12.3,TOR7.5,BAL3.2,DET19.7,NYY1.5,KCR2.0,DET2.4,MIN2.2,DET0.8,CLE1.8,MIN2.1,TOR2.3,DET7.0,BAL0.8,SEA0.3
10,DET33.4,TBR10.6,OAK7.3,DET3.1,TEX19.4,CHW1.0,CLE1.5,KCR1.9,CLE1.7,MIN-0.1,TEX1.7,TEX1.8,OAK1.8,BAL7.0,OAK0.7,TEX0.3
11,OAK30.3,TOR10.4,LAA6.4,TOR3.1,OAK13.4,SEA0.9,CHW1.4,SEA1.8,CHW1.4,OAK-0.6,MIN1.6,KCR1.3,NYY1.6,TEX5.9,TEX0.7,CHW0.2
12,CLE26.0,BAL9.2,TBR6.4,SEA1.2,BAL13.2,DET0.6,OAK-0.4,OAK1.3,KCR0.3,SEA-0.7,DET1.2,TBR1.3,DET1.3,TOR5.8,DET0.0,BOS0.2
13,BAL22.4,LAA6.5,BAL5.9,CLE0.3,CHW9.4,TEX0.4,TEX-0.7,CHW1.0,OAK0.1,BOS-1.0,CHW0.2,TOR1.1,CHW0.3,KCR1.5,KCR-0.2,BAL0.2
14,KCR20.0,CLE2.5,CLE2.4,LAA0.1,KCR3.3,TBR-0.2,BAL-0.7,MIN-0.7,BAL-0.3,KCR-3.5,SEA-0.3,CHW-0.3,KCR-1.8,CHW0.2,TBR-0.3,KCR-0.3
AVG,36.7,14.9,10.1,4.9,21.8,1.8,2.4,3.2,2.9,2.1,2.4,2.6,2.4,7.4,1.4,0.6
