Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,STL49.6,STL29.2,STL20.8,PIT9.0,ARI29.5,SFG3.7,ARI8.6,MIA5.4,COL5.6,SFG5.2,ARI4.6,ARI7.7,WSN8.9,ARI15.2,CHC0.2,LAD2.3
2,LAD43.7,PIT20.1,LAD17.9,STL8.4,SFG24.1,PIT3.4,CIN7.6,SFG4.2,CHC5.3,ATL4.0,PIT4.3,PIT5.3,STL6.4,PIT11.5,MIL0.2,ARI1.6
3,PIT42.5,NYM20.0,WSN15.8,SFG6.1,LAD24.1,LAD2.8,CHC6.5,CIN2.9,CIN3.9,CIN2.7,SDP4.1,PHI4.6,NYM4.5,STL11.0,WSN0.1,SDP1.2
4,CHC40.3,LAD19.6,NYM15.0,MIL5.1,CHC23.5,CHC1.8,SFG4.7,PIT2.6,STL3.5,MIA2.7,NYM3.5,LAD2.6,MIL4.0,NYM9.9,STL0.1,NYM1.1
5,SFG40.3,WSN19.1,CHC14.1,PHI4.4,PIT22.4,COL1.7,LAD4.5,CHC2.5,SFG3.5,WSN2.2,STL3.1,CHC2.5,MIA3.2,WSN9.6,SFG0.1,MIL1.1
6,NYM37.7,CHC16.8,PIT11.7,NYM4.1,STL20.4,NYM1.6,MIL3.2,STL2.5,LAD3.0,CHC2.1,MIA2.6,MIL2.1,ARI2.9,MIL8.1,SDP0.1,SFG0.9
7,ARI37.1,SFG16.2,SFG9.1,COL4.0,MIA18.8,ARI1.6,NYM2.9,COL2.2,MIA2.9,ARI2.0,LAD2.2,COL2.1,LAD2.9,LAD7.7,PIT0.1,STL0.7
8,WSN35.3,COL8.5,ATL6.5,ARI3.9,NYM17.7,SDP1.5,ATL2.9,LAD2.2,PIT2.7,PIT1.7,MIL2.0,NYM1.9,COL2.7,MIA7.3,NYM0.1,CHC0.6
9,MIA25.0,SDP7.7,COL5.4,CHC3.1,CIN17.1,ATL1.4,SDP2.5,SDP1.8,WSN2.4,STL1.7,CHC1.6,WSN1.8,PIT1.9,SDP6.5,MIA0.1,PIT0.6
10,CIN23.3,ARI7.6,SDP4.8,SDP3.0,WSN16.2,MIA1.0,WSN0.3,WSN1.4,PHI2.0,LAD1.5,SFG1.4,SDP1.8,SFG1.8,PHI5.0,LAD0.1,PHI0.4
11,COL21.7,CIN6.2,ARI4.6,WSN2.9,SDP14.0,STL0.9,STL0.0,NYM1.0,ATL1.1,COL1.0,PHI0.9,STL1.5,ATL1.7,CHC4.5,ARI0.1,ATL0.3
12,SDP21.7,MIA6.2,CIN4.2,MIA2.2,MIL13.3,CIN0.6,PIT-0.2,PHI0.7,ARI0.9,PHI0.8,CIN-0.2,MIA1.5,SDP0.6,COL3.8,ATL0.0,WSN-0.2
13,MIL18.7,PHI5.7,MIA3.5,CIN2.1,COL13.2,MIL0.5,MIA-0.3,ATL0.6,NYM0.8,NYM0.3,ATL-0.7,ATL0.2,CIN0.4,SFG1.8,PHI-0.1,MIA-0.3
14,ATL16.5,MIL5.4,MIL1.2,LAD1.3,ATL11.5,PHI0.5,COL-0.3,MIL0.5,SDP0.7,MIL-0.1,COL-1.0,CIN-0.1,CHC0.4,ATL1.2,COL-0.1,CIN-0.6
15,PHI13.7,ATL5.0,PHI1.1,ATL-0.6,PHI8.0,WSN0.4,PHI-1.3,ARI-0.5,MIL-0.2,SDP-0.3,WSN-1.1,SFG-1.4,PHI-0.5,CIN0.1,CIN-0.1,COL-0.7
AVG,31.1,12.9,9.0,3.9,18.3,1.6,2.8,2.0,2.5,1.8,1.8,2.3,2.8,6.9,0.1,0.6
