Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,CHC49.0,CHC29.1,CHC22.9,LAD8.0,STL31.7,ATL4.1,STL8.9,PHI8.9,ATL7.6,FLA6.9,COL5.8,NYM6.9,SDP4.9,NYM11.4,HOU0.3,STL2.1
2,PHI41.4,ARI22.7,ARI18.1,PHI7.0,PHI28.7,PIT3.6,HOU6.7,FLA4.6,NYM6.8,PHI5.3,MIL4.7,PHI4.7,STL4.4,SDP10.4,ATL0.2,ATL1.7
3,MIL41.4,LAD20.9,LAD13.3,COL6.5,MIL26.2,LAD3.6,ATL4.1,STL3.6,STL4.6,MIL5.1,LAD3.9,MIL4.0,SFG3.7,MIL10.3,STL0.1,CHC1.7
4,STL39.7,MIL15.2,MIL13.2,CIN6.1,NYM25.1,MIL3.2,SDP3.4,CHC3.3,WSN3.1,NYM4.8,PHI3.1,FLA3.5,LAD2.9,PHI9.8,SDP0.1,MIL1.5
5,NYM39.2,SFG14.3,NYM13.0,CHC5.6,ATL24.1,CHC2.8,CIN2.7,CIN2.8,CHC3.0,WSN4.7,HOU3.1,SDP3.4,HOU2.3,STL9.4,PIT0.1,SDP1.3
6,LAD36.4,NYM14.1,SFG11.4,ARI5.0,CHC19.9,COL2.4,CHC1.9,MIL2.7,SDP2.3,ATL3.3,CIN2.6,STL2.8,NYM2.2,LAD7.6,NYM0.1,PHI1.3
7,ARI30.1,COL13.0,COL8.2,HOU4.0,FLA19.4,SFG1.6,PHI1.8,ATL2.6,LAD2.2,ARI3.2,FLA2.5,PIT2.5,PHI2.0,PIT6.9,MIL0.1,NYM0.9
8,FLA28.6,PHI12.7,STL7.6,FLA3.7,SDP17.1,FLA1.3,PIT1.7,ARI2.1,HOU1.8,CHC2.2,PIT2.5,ATL2.2,PIT1.9,FLA6.1,CHC0.1,PIT0.8
9,ATL28.4,CIN12.0,CIN6.8,SFG3.1,HOU16.3,ARI1.2,MIL1.7,COL1.7,MIL1.6,STL2.0,CHC2.4,CHC1.6,MIL1.6,SFG5.6,FLA0.0,FLA0.6
10,HOU27.1,HOU10.8,HOU6.6,WSN2.6,LAD15.5,STL1.0,NYM1.3,HOU1.3,COL1.2,LAD1.9,NYM2.3,ARI1.4,CHC0.9,COL5.2,PHI0.0,COL0.3
11,COL26.6,FLA9.2,FLA6.5,MIL1.9,PIT14.3,PHI0.8,COL1.0,PIT0.9,FLA1.1,HOU1.9,STL2.2,LAD0.8,WSN0.8,CHC4.9,COL0.0,CIN0.2
12,CIN21.0,STL8.0,PHI6.0,PIT1.8,COL13.6,NYM0.7,LAD0.7,SDP0.1,PHI0.8,COL1.8,SDP2.1,SFG0.8,CIN0.6,HOU4.9,CIN0.0,WSN0.2
13,SDP20.8,WSN4.9,SDP4.5,NYM1.2,CIN9.0,CIN0.3,WSN0.2,SFG0.0,ARI0.7,PIT0.6,SFG1.1,CIN0.5,FLA0.1,CIN3.7,SFG0.0,HOU0.1
14,SFG18.1,ATL4.3,ATL4.4,STL0.5,WSN8.7,SDP0.0,ARI0.2,WSN-0.2,CIN0.4,SDP-0.5,ATL0.3,WSN0.0,ARI0.0,WSN1.0,ARI0.0,LAD-0.1
15,PIT15.0,SDP3.7,WSN2.9,ATL-0.1,ARI7.4,WSN-0.2,SFG-0.4,LAD-0.2,PIT-0.3,CIN-1.1,WSN0.2,COL-0.4,COL-0.2,ARI0.8,WSN-0.1,SFG-0.5
16,WSN13.6,PIT0.7,PIT-0.8,SDP-1.8,SFG3.8,HOU-0.7,FLA-1.2,NYM-0.9,SFG-0.7,SFG-1.8,ARI-0.6,HOU-0.5,ATL-2.0,ATL0.5,LAD-0.2,ARI-0.8
AVG,29.8,12.2,9.0,3.4,17.6,1.6,2.2,2.1,2.3,2.5,2.4,2.1,1.6,6.2,0.1,0.7
