Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,PHI45.2,PHI22.0,PHI19.0,SFG7.5,CIN30.6,ATL4.4,STL7.5,PHI6.1,WSN6.0,COL7.1,STL5.8,ARI5.4,ATL6.3,MIL13.2,WSN0.1,CIN2.2
2,SFG43.3,SFG20.1,LAD14.7,SDP6.9,STL25.7,PHI4.1,CIN7.0,ATL4.7,ATL4.4,LAD4.9,MIL5.7,HOU5.3,CIN4.7,STL11.4,STL0.1,MIL1.5
3,ATL41.3,ATL17.0,SFG13.6,ATL6.6,MIL24.5,STL3.4,SFG4.3,FLA4.4,CIN4.4,ARI3.5,SFG4.1,PIT3.8,MIL4.3,SFG9.3,SFG0.1,SDP1.4
4,CIN41.2,LAD16.8,CHC13.4,WSN5.9,ATL24.3,CIN3.2,SDP4.3,CIN4.0,SDP3.9,FLA3.2,COL2.5,CHC3.6,PHI3.7,CIN8.3,SDP0.1,SFG1.1
5,STL39.2,COL16.6,COL12.4,COL5.2,PHI23.2,SFG3.1,NYM3.2,MIL3.7,NYM2.8,ATL3.2,FLA2.2,COL3.6,FLA3.5,FLA8.2,MIL0.1,ATL1.1
6,COL36.5,NYM14.9,FLA12.3,PIT3.9,SFG23.2,CHC2.9,WSN2.8,ARI3.7,LAD2.5,NYM2.2,WSN2.2,PHI3.6,HOU3.0,PHI7.8,LAD0.1,STL0.8
7,SDP36.1,FLA14.6,NYM10.9,PHI3.8,SDP22.0,LAD2.7,MIL1.6,SFG2.3,COL2.0,STL2.1,NYM2.1,STL3.4,STL2.2,NYM7.3,ARI0.1,PHI0.4
8,NYM30.7,SDP14.1,HOU10.7,FLA3.6,COL19.9,SDP2.4,PHI1.5,LAD1.6,PHI2.0,CHC1.7,SDP2.0,NYM3.4,SFG2.2,COL7.2,ATL0.1,COL0.4
9,FLA29.7,STL13.5,STL10.4,STL3.3,ARI16.2,COL2.1,ATL1.3,SDP1.6,MIL1.7,SDP1.7,PIT0.8,SDP3.2,NYM1.8,ARI7.1,CHC0.1,WSN0.3
10,LAD27.7,HOU13.3,ATL10.3,CIN3.3,NYM15.8,MIL1.8,HOU1.0,COL1.1,SFG1.6,CIN1.5,CHC0.7,CIN3.2,ARI1.5,SDP6.6,CIN0.0,CHC0.3
11,MIL26.4,CHC12.7,ARI6.7,LAD3.2,FLA15.1,ARI1.1,ARI1.0,WSN0.8,STL0.7,SFG1.4,ATL0.6,MIL3.2,SDP1.4,HOU6.5,COL0.0,NYM0.1
12,CHC23.1,CIN10.6,CIN6.4,NYM2.9,WSN13.5,FLA0.8,LAD0.4,CHC0.3,ARI-0.2,PHI1.3,PHI0.5,SFG3.0,LAD1.4,CHC5.5,PHI0.0,FLA0.1
13,WSN19.7,WSN6.2,SDP6.0,HOU2.2,LAD10.9,NYM0.4,COL0.0,PIT0.2,PIT-0.3,WSN1.0,CIN0.4,FLA2.5,CHC1.2,ATL5.1,NYM0.0,LAD-0.1
14,ARI17.5,PIT2.5,WSN1.3,CHC0.0,CHC10.4,WSN-0.2,FLA-0.1,HOU-0.1,CHC-0.3,MIL0.9,ARI0.2,WSN-0.4,COL1.1,PIT4.2,PIT-0.1,ARI-0.1
15,HOU16.7,MIL1.9,MIL0.9,MIL-1.1,HOU3.4,HOU-0.4,CHC-0.1,NYM-0.2,HOU-1.0,PIT-0.1,LAD-1.3,LAD-1.3,WSN0.9,WSN2.7,FLA-0.1,HOU-0.5
16,PIT3.0,ARI1.3,PIT-0.2,ARI-6.4,PIT0.5,PIT-1.3,PIT-0.6,STL-0.3,FLA-1.4,HOU-2.0,HOU-1.8,ATL-1.8,PIT-0.4,LAD-1.2,HOU-0.1,PIT-1.5
AVG,29.8,12.4,9.3,3.2,17.4,1.9,2.2,2.1,1.8,2.1,1.7,2.7,2.4,6.8,0.0,0.5
