Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,LAD48.8,SFG25.9,ATL19.5,SFG7.1,LAD29.4,ATL4.6,STL9.6,PHI8.0,WSN7.2,FLA7.0,MIL6.1,NYM6.0,PHI4.0,PHI10.8,PHI0.2,LAD1.5
2,ATL42.4,CHC24.7,SFG19.1,LAD7.1,PHI28.8,STL3.1,SDP6.8,MIL4.9,LAD4.8,COL6.7,LAD2.9,HOU4.7,ARI3.9,LAD10.7,NYM0.2,CIN1.2
3,STL41.1,ATL24.6,CHC18.5,FLA6.4,MIL25.1,PHI2.9,MIL6.3,LAD4.6,SFG4.3,ATL3.7,PHI2.8,LAD4.7,HOU3.8,MIL10.1,WSN0.1,ARI1.1
4,PHI40.6,COL19.7,COL17.1,CIN5.8,STL24.0,ARI2.5,CHC5.3,ARI3.0,NYM3.4,STL3.3,COL2.5,SDP4.2,LAD3.1,NYM9.9,STL0.1,MIL1.0
5,COL39.7,LAD19.4,STL13.4,CHC5.7,COL20.0,LAD2.4,CIN4.3,CIN2.7,ARI3.4,LAD3.3,STL2.2,PIT4.0,NYM2.5,HOU9.7,MIL0.1,FLA1.0
6,CHC34.5,STL17.1,LAD12.1,ATL4.5,NYM18.9,COL2.2,PHI3.7,FLA2.1,ATL3.0,ARI3.2,PIT1.9,PHI4.0,CIN2.1,PIT7.1,LAD0.1,COL0.9
7,SFG34.3,FLA15.7,FLA9.9,MIL4.3,ATL17.8,FLA1.7,COL3.1,STL2.0,PIT1.9,PIT3.0,SFG1.8,MIL2.8,COL1.5,COL5.7,HOU0.1,NYM0.9
8,FLA32.7,PHI11.8,PHI9.7,HOU3.4,FLA17.0,PIT1.5,ATL3.0,COL1.7,CHC1.6,HOU1.8,CIN1.6,CHC2.1,FLA1.5,CIN5.2,ATL0.1,ATL0.9
9,ARI26.3,CIN10.5,ARI9.4,STL3.4,ARI16.0,SDP0.9,HOU2.7,ATL1.5,SDP1.4,PHI1.6,SDP1.4,COL1.7,PIT1.2,STL5.0,ARI0.1,STL0.8
10,NYM25.6,ARI10.3,CIN5.2,SDP2.8,PIT15.6,CHC0.9,LAD2.0,NYM1.3,MIL1.1,MIL1.3,NYM1.4,SFG1.7,MIL1.2,SDP5.0,CIN0.1,SDP0.7
11,MIL25.5,NYM6.7,NYM4.6,COL2.7,SDP15.4,NYM0.5,NYM1.9,PIT1.1,PHI1.0,WSN1.2,FLA1.3,STL1.7,SFG1.1,SFG4.6,FLA0.1,PHI0.6
12,CIN24.7,HOU6.2,WSN4.1,NYM2.1,CIN14.2,CIN0.3,PIT1.4,SDP0.5,CIN0.7,NYM0.8,WSN1.3,CIN1.5,STL1.1,FLA4.2,PIT0.0,SFG0.5
13,HOU19.4,SDP2.3,PIT4.0,PHI2.1,HOU13.2,HOU0.3,FLA1.2,WSN0.3,STL0.1,CHC0.8,HOU1.2,WSN1.5,ATL1.1,ARI4.1,COL0.0,WSN0.4
14,SDP17.7,WSN2.2,HOU2.8,ARI0.9,WSN12.7,MIL0.3,WSN1.2,HOU0.1,COL-0.3,SDP0.1,ARI0.1,FLA1.4,CHC0.7,WSN2.9,SFG0.0,CHC-0.1
15,PIT17.0,PIT1.4,SDP-0.2,PIT-1.7,CHC9.8,SFG-0.5,SFG0.3,CHC0.0,FLA-0.3,CIN-0.3,ATL-0.6,ATL0.5,WSN0.1,CHC1.3,CHC0.0,PIT-0.4
16,WSN14.9,MIL0.4,MIL-3.9,WSN-2.1,SFG8.4,WSN-0.6,ARI-1.4,SFG-0.4,HOU-0.7,SFG-0.4,CHC-1.5,ARI0.1,SDP-0.6,ATL1.0,SDP0.0,HOU-0.8
AVG,30.3,12.4,9.1,3.4,17.9,1.4,3.2,2.1,2.0,2.3,1.6,2.7,1.8,6.1,0.1,0.6
