Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,CHC57.2,WSN26.3,CHC19.1,WSN7.9,CHC34.5,SFG4.0,ATL6.5,COL5.4,COL6.6,LAD5.8,PIT5.1,CHC4.6,MIA3.0,CHC10.9,SFG0.2,STL2.1
2,WSN43.6,CHC22.7,WSN17.6,LAD7.7,SFG24.7,WSN3.9,CHC6.1,WSN5.3,CHC5.4,SFG5.1,MIA4.4,COL4.2,STL2.9,MIA10.7,MIL0.2,CHC1.7
3,SFG43.2,NYM22.0,NYM15.6,STL7.0,STL23.8,STL3.2,SFG5.0,ARI4.8,LAD4.4,CHC4.5,CHC4.0,PHI4.0,CHC2.3,PIT7.3,MIA0.2,PIT1.7
4,LAD39.6,SFG18.5,SFG12.9,MIL6.9,MIA22.7,MIA2.8,ARI4.7,CHC3.9,WSN4.1,STL4.2,MIL3.5,ATL3.7,SFG2.1,NYM6.9,STL0.1,LAD1.7
5,STL39.1,LAD17.3,LAD9.7,PIT6.3,LAD22.3,MIL2.8,CIN3.9,NYM3.4,MIA3.9,COL3.2,SDP2.8,LAD3.4,PIT2.0,STL6.3,PIT0.1,MIA1.5
6,NYM37.6,STL15.3,COL9.2,NYM6.2,COL21.7,PHI2.5,SDP3.1,STL3.4,PIT3.2,NYM2.9,CIN2.6,MIA3.3,NYM2.0,ATL6.0,NYM0.1,SFG1.4
7,MIA30.7,MIL13.4,PHI7.8,SFG4.7,PIT17.4,LAD2.2,STL2.3,PHI2.7,SFG3.0,MIL2.4,NYM2.3,STL2.6,COL2.0,SDP5.7,CHC0.1,NYM1.3
8,COL29.9,PIT11.7,MIL7.4,MIA4.3,WSN17.3,ARI2.0,LAD1.8,MIA2.1,MIL2.6,CIN1.9,SFG1.2,NYM2.6,ATL1.7,CIN5.6,ATL0.1,WSN0.8
9,MIL29.2,COL8.2,STL7.3,SDP3.8,ARI16.6,CHC1.9,PIT1.6,PIT1.9,SDP2.5,WSN1.9,STL0.8,CIN2.5,LAD1.4,COL5.0,ARI0.1,SDP0.7
10,PIT29.1,MIA8.0,PIT5.6,CHC3.3,MIL15.8,COL1.4,MIL1.0,LAD1.7,ARI2.3,ARI1.7,ATL0.6,SDP2.3,WSN1.4,MIL4.9,COL0.0,ARI0.5
11,ARI21.0,ATL7.6,CIN5.3,ATL3.3,NYM15.6,PIT0.5,MIA0.4,SDP1.6,STL2.2,MIA1.1,LAD0.0,MIL1.8,SDP0.6,LAD4.8,CIN0.0,MIL0.4
12,ATL18.6,PHI7.0,ATL5.0,CIN0.2,CIN13.7,CIN0.4,COL0.1,MIL1.5,CIN1.4,PHI1.1,WSN-0.1,SFG1.2,CIN0.5,SFG4.5,SDP0.0,COL0.0
13,CIN18.1,SDP6.3,MIA4.3,ARI0.2,ATL11.0,SDP0.0,NYM0.1,SFG1.5,PHI1.0,PIT1.1,ARI-0.8,ARI1.2,ARI0.1,WSN2.2,WSN0.0,CIN-0.2
14,SDP17.1,CIN4.4,ARI4.2,COL-0.4,SDP10.8,NYM-0.1,WSN-0.9,CIN0.7,NYM1.0,ATL-0.1,COL-1.2,WSN0.9,MIL-0.4,PHI0.9,LAD-0.1,ATL-0.2
15,PHI12.5,ARI4.4,SDP3.0,PHI-0.9,PHI5.5,ATL-0.3,PHI-1.3,ATL-1.0,ATL0.0,SDP-2.8,PHI-2.6,PIT0.2,PHI-0.5,ARI0.5,PHI-0.1,PHI-1.3
AVG,31.1,12.9,8.9,4.0,18.2,1.8,2.3,2.6,2.9,2.3,1.5,2.6,1.4,5.5,0.1,0.8
