Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,LAD47.1,WSN24.7,WSN19.6,SDP6.3,LAD30.3,MIL6.1,CHC5.1,PIT3.7,LAD6.6,STL5.8,PIT4.7,PIT6.9,MIA6.4,MIA14.4,STL0.3,LAD2.8
2,WSN46.1,CHC17.3,LAD13.7,SFG5.8,PIT29.3,PIT5.6,LAD4.3,LAD3.5,WSN5.5,COL4.6,MIA3.8,NYM5.8,ATL5.5,PIT13.2,MIL0.2,PIT1.5
3,PIT39.1,ATL17.1,CIN13.6,WSN5.6,COL23.1,CIN4.3,ARI4.0,PHI3.1,CIN4.9,LAD4.2,STL3.6,ARI5.4,LAD3.8,LAD9.4,LAD0.2,COL1.4
4,STL35.1,PHI16.9,ATL12.3,ATL5.5,WSN21.4,SFG4.2,COL3.5,NYM2.1,COL3.8,ATL3.8,LAD3.0,MIL4.4,SFG3.7,NYM8.3,COL0.2,NYM1.3
5,SFG33.8,LAD16.8,PHI12.2,PHI4.8,STL20.9,PHI3.1,NYM3.4,CIN2.1,NYM3.1,WSN3.8,ATL2.8,MIA4.2,WSN3.6,ATL7.7,SFG0.1,SDP1.0
6,ATL31.0,STL14.2,CHC11.9,CHC4.6,NYM20.3,SDP2.8,ATL3.2,STL1.9,STL3.0,PIT3.1,COL2.5,WSN3.6,PHI2.8,WSN7.5,MIA0.1,SFG0.6
7,CIN30.6,CIN13.7,STL11.5,MIA4.6,SFG20.2,WSN1.9,SFG2.5,COL1.1,SFG3.0,PHI3.1,SDP2.3,COL3.2,COL1.8,COL7.5,WSN0.1,CIN0.5
8,NYM29.3,SFG13.6,MIL10.3,PIT4.6,MIA17.0,STL1.9,CIN2.4,MIL1.1,PIT2.7,SFG3.0,NYM1.7,STL2.7,PIT1.6,MIL6.8,PHI0.1,STL0.5
9,MIL29.2,SDP12.7,MIA7.7,MIL3.5,CIN16.9,ATL1.1,WSN2.2,SFG0.9,SDP1.9,ARI2.7,MIL1.7,LAD2.6,NYM0.8,SFG5.9,PIT0.1,ARI0.5
10,MIA29.0,MIL12.4,SFG7.6,NYM2.6,MIL16.8,COL1.0,STL2.1,WSN0.8,ARI1.5,CIN2.3,SFG0.3,CIN2.2,MIL0.7,ARI5.7,SDP0.0,MIL0.2
11,PHI26.6,MIA12.0,NYM7.2,STL1.9,ARI15.3,ARI0.9,SDP1.7,CHC0.7,MIA1.4,SDP1.6,WSN0.3,SFG1.9,SDP0.6,STL5.4,NYM0.0,MIA0.2
12,COL25.9,PIT9.8,PIT6.3,LAD1.4,ATL13.9,NYM0.7,MIL0.8,MIA0.1,MIL1.2,CHC1.6,ARI0.1,SDP1.2,ARI0.2,SDP4.1,CIN0.0,PHI-0.3
13,SDP25.0,NYM9.0,SDP6.0,CIN-0.1,SDP12.3,MIA0.5,MIA-0.6,ARI0.0,CHC0.9,NYM1.4,CIN-0.5,PHI0.5,CHC-0.2,PHI2.1,ATL0.0,WSN-0.4
14,CHC24.2,COL2.8,COL5.0,ARI-1.1,PHI9.7,CHC-0.2,PIT-0.6,ATL-0.6,PHI-0.4,MIA0.9,CHC-0.5,CHC0.3,STL-0.9,CIN0.4,ARI0.0,ATL-0.4
15,ARI16.2,ARI0.9,ARI2.3,COL-2.2,CHC6.9,LAD-0.7,PHI-1.1,SDP-0.8,ATL-0.9,MIL0.4,PHI-1.2,ATL-0.6,CIN-1.3,CHC-0.4,CHC-0.1,CHC-0.7
AVG,31.2,12.9,9.8,3.2,18.3,2.2,2.2,1.3,2.5,2.8,1.6,3.0,1.9,6.5,0.1,0.6
