Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,LAD49.5,ARI28.5,ARI21.4,MIL6.9,LAD30.3,ATL4.3,CIN7.5,PHI3.4,COL7.1,LAD6.0,MIA5.4,COL5.7,MIA7.1,MIA16.5,LAD0.4,LAD2.3
2,ARI47.0,WSN25.5,WSN21.2,COL6.9,MIA29.6,CHC4.1,ARI5.5,LAD3.0,LAD6.1,CIN4.3,STL4.7,MIA4.0,WSN4.2,NYM10.5,ARI0.3,CHC1.9
3,WSN46.1,COL21.2,COL15.0,ARI6.5,CHC27.5,MIA3.5,CHC4.3,WSN2.9,WSN6.0,WSN3.4,NYM4.0,NYM3.9,ARI4.1,STL9.4,MIA0.3,STL1.6
4,CHC42.4,LAD19.2,LAD13.3,PIT6.2,CIN23.7,LAD3.3,ATL4.2,MIA2.8,CHC5.8,CHC3.3,PHI2.6,STL3.3,LAD3.5,ARI7.4,NYM0.2,MIL1.5
5,COL38.0,MIL17.7,MIL11.0,LAD6.1,STL23.0,SFG3.1,STL3.2,STL2.6,MIL4.1,MIL2.8,LAD2.5,ATL3.0,MIL3.2,LAD7.4,SFG0.2,NYM1.2
6,MIL37.2,CHC14.9,CHC9.5,PHI5.8,WSN20.6,PHI2.2,WSN2.9,COL2.5,CIN3.7,MIA2.4,CIN1.8,ARI2.9,CHC2.8,WSN6.4,WSN0.1,ARI1.1
7,STL36.5,PIT13.9,STL9.0,CHC5.5,MIL19.5,CIN2.0,SFG2.3,CHC2.3,STL3.1,COL2.2,MIL1.5,PHI2.7,NYM2.6,CHC5.8,STL0.1,CIN0.8
8,MIA26.7,STL13.5,SFG8.9,WSN4.4,ARI18.5,MIL1.9,MIA2.1,PIT2.3,PIT2.9,SFG1.9,PIT1.3,WSN2.6,CIN1.4,MIL5.8,SDP0.1,MIA0.7
9,PHI25.2,SFG13.2,PIT8.1,STL4.1,COL16.8,STL1.4,SDP2.1,ATL2.0,ARI1.3,STL1.6,SDP1.1,PIT2.6,STL1.4,PHI5.2,PIT0.1,WSN0.6
10,PIT25.1,PHI12.8,PHI7.1,SFG4.0,NYM14.3,NYM1.3,MIL1.9,MIL1.4,MIA1.3,PHI1.5,CHC1.0,SDP2.5,SDP0.8,COL4.7,MIL0.1,ATL0.4
11,CIN21.6,ATL6.7,ATL5.2,SDP3.2,ATL13.7,ARI0.5,LAD1.8,ARI1.3,SDP0.7,PIT1.4,ARI0.4,CHC2.0,ATL0.6,SDP4.4,CIN0.1,PHI0.0
12,ATL20.4,SDP5.5,NYM2.4,NYM2.4,PHI12.4,COL0.4,PIT1.1,SDP1.1,ATL0.7,ARI1.1,SFG-0.3,LAD1.4,PHI-0.1,CIN4.2,PHI0.0,PIT-0.1
13,NYM19.5,NYM5.2,SDP1.2,ATL2.2,PIT11.2,PIT0.1,COL0.5,SFG1.1,PHI0.3,SDP0.4,WSN-0.4,MIL1.1,PIT-0.5,PIT3.4,ATL0.0,SDP-0.2
14,SFG16.7,CIN-2.1,MIA-0.4,CIN0.6,SDP8.2,SDP-0.4,NYM0.3,CIN1.1,NYM0.2,NYM0.1,COL-0.5,CIN1.0,COL-0.5,ATL2.1,CHC0.0,COL-0.6
15,SDP13.7,MIA-2.9,CIN-1.7,MIA-1.2,SFG3.5,WSN-1.7,PHI-0.2,NYM0.5,SFG-1.5,ATL0.0,ATL-1.5,SFG-1.7,SFG-0.6,SFG-2.6,COL0.0,SFG-1.0
AVG,31.0,12.9,8.7,4.2,18.2,1.7,2.6,2.0,2.8,2.2,1.6,2.5,2.0,6.0,0.1,0.7
