Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,WSN45.7,WSN25.0,WSN16.9,COL10.1,SFG29.4,STL6.6,CIN5.8,ARI5.0,NYM7.0,WSN3.8,MIL7.0,PIT6.9,ATL5.1,ATL14.2,SFG0.3,STL1.7
2,CIN41.6,CIN22.6,LAD15.3,CIN8.8,STL29.0,SFG6.4,WSN4.2,CHC4.0,SDP6.3,CHC3.5,SFG5.4,ATL5.9,MIA4.8,STL12.0,PHI0.2,SDP1.6
3,STL40.8,LAD21.9,MIA14.9,ATL7.4,ATL25.2,PHI5.1,SFG3.9,PHI3.7,MIL5.2,MIA3.0,STL4.3,SFG4.4,STL3.9,MIL11.9,MIL0.2,PHI1.6
4,SFG37.9,MIA16.0,CIN13.2,LAD7.0,MIL23.8,MIL4.4,ARI3.3,LAD3.2,WSN3.9,NYM2.7,ATL3.2,STL3.8,LAD3.2,SFG11.8,ARI0.1,SFG1.5
5,ATL37.0,COL14.9,PHI11.6,WSN6.9,ARI21.8,ARI4.1,STL2.4,CIN3.1,STL3.8,SFG2.6,SDP2.4,COL3.4,MIL2.7,SDP8.0,STL0.1,MIL1.5
6,LAD36.3,PHI12.3,NYM11.6,PIT5.2,SDP21.5,LAD3.0,ATL2.0,ATL2.9,ATL3.5,PHI2.5,CIN2.3,SDP3.1,ARI2.6,PIT7.8,SDP0.1,ARI1.0
7,ARI33.2,ATL11.8,MIL9.7,SDP5.0,WSN20.7,CIN2.1,CHC1.9,PIT2.4,SFG2.5,STL2.3,COL2.0,ARI2.9,WSN2.5,ARI7.3,CHC0.1,COL0.9
8,PHI30.0,STL11.8,STL9.1,ARI4.5,CIN19.0,SDP2.0,SDP1.6,MIA2.2,PIT2.5,CIN2.2,PHI1.9,LAD2.8,SDP2.5,COL6.5,NYM0.0,NYM0.8
9,MIL29.6,ARI11.4,ARI7.1,STL2.5,PHI17.7,ATL1.9,MIL1.3,WSN2.1,LAD2.0,HOU2.0,ARI1.8,WSN2.8,CIN2.2,LAD6.3,MIA0.0,WSN0.5
10,PIT26.1,NYM10.6,CHC6.3,HOU2.2,PIT15.6,HOU1.0,PIT0.9,NYM1.5,PHI1.6,ATL1.6,CHC1.6,MIL2.2,SFG2.0,WSN5.8,PIT0.0,PIT0.3
11,SDP25.7,PIT10.5,SFG6.1,MIA2.0,LAD14.4,MIA0.4,NYM0.9,HOU1.2,CIN1.2,PIT1.3,WSN0.5,PHI2.1,COL1.1,CIN4.7,LAD0.0,CIN0.0
12,NYM23.8,SFG8.5,HOU5.7,SFG1.6,NYM13.2,WSN0.4,COL0.1,SDP0.9,ARI0.8,SDP1.0,PIT0.4,NYM1.6,CHC1.1,PHI4.5,HOU0.0,LAD-0.1
13,COL23.0,HOU7.0,PIT5.7,PHI0.4,CHC11.2,PIT0.4,LAD-0.4,COL0.9,HOU0.8,LAD0.4,LAD0.3,HOU0.3,PIT0.5,CHC3.0,WSN0.0,HOU-0.2
14,MIA21.2,MIL5.8,ATL4.7,CHC-0.5,COL8.1,COL0.0,HOU-0.4,SFG0.4,MIA-0.3,COL0.3,HOU-0.3,CHC0.3,PHI0.5,MIA2.7,COL0.0,CHC-0.3
15,CHC16.6,CHC5.4,COL4.4,NYM-1.7,MIA5.2,CHC0.0,PHI-1.5,STL0.1,COL-0.6,ARI0.2,NYM-0.4,CIN0.2,NYM0.0,NYM1.2,CIN-0.1,ATL-0.8
16,HOU10.7,SDP4.2,SDP-0.7,MIL-3.5,HOU3.7,NYM-0.9,MIA-1.6,MIL-0.6,CHC-1.0,MIL-0.1,MIA-1.7,MIA-0.4,HOU-0.7,HOU-0.7,ATL-0.1,MIA-1.2
AVG,29.9,12.5,8.8,3.6,17.5,2.3,1.5,2.1,2.5,1.8,1.9,2.6,2.1,6.7,0.1,0.6
